url,titulo,texto,status,local,data_hora,problem_type,product_type,category,texto2
https://www.reclameaqui.com.br/brastemp-consul/titulo_Ascs9n9qH59E7BAF/,[Editado pelo Reclame Aqui],"te induzem ao erro e cobram de você, absurdo",,Florianópolis - SC,06/08/2024 às 13:06,Eletrodomésticos,Secadora de roupa e centrífuga,Assistência técnica,"Consideração final do consumidor
06/08/2024 às 13:53
[Editado pelo Reclame Aqui]
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/maquina-de-lavar-louca_nXQASR8mnVmt4Uzh/,Máquina de lavar louça,"comprei uma lava-louca no Zaffari Bourbon dia 11/07 e dia 12/07 vi que tinha defeito, fui no Zaffari Bourbon para pedir a troca, não trocaram e mandaram que procurasse a Brastemp. Procurei a Brastemp e autorizada. levaram 2 vezes para a oficina autorizada pela Brastemp e voltou pior do que foi. sem funcionar e vazando agua, inclusive alagou minha cozinha. fora isso os tecnicos estiveram em minha casa mais duas vezes. A lava-louca ainda esta na Brastemp.peço providencias urgente.",,Porto Alegre - RS,04/08/2024 às 15:05,--,--,--,"Consideração final do consumidor
07/08/2024 às 12:55
Não resolveram . Preciso da lava-louça. Comprei . Levaram e não devolveram mais, pior nem deixaram uma ordem de serviço. Nunca mais deram o ar da graça
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/garantia-demorada_WXn-rOiPlaTt6kGw/,Garantia demorada,"Ontem dia 01/08 entrei em contato para receber serviços da garantia, pois comprei uma máquina dia 11/05 e hj 01/08 já deu problema, e a assistência autorizada mais próxima fica a 100 km d onde moro sendo assim diz q viriam só no dia 10/08...

Agora como fico 10 dias sem uma máquina de lavar, sendo q tenho crianças pequenas um absurdo isso",,Jataí - GO,02/08/2024 às 12:11,Não encontrei meu problema,Lavadora de roupas e Tanquinho,Assistência técnica,"Consideração final do consumidor
06/08/2024 às 10:29
Só quero atendimento, q resolva o problema da minha máquina, s comprei e pq preciso
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/assistencia-tecnica-agenda-e-nao-aparece_HY_QEk19ten4d-pu/,Assistência técnica agenda e não aparece,"Geladeira inverter brastemp com 1,5 ano parou de refrigerar.
Por ter sido comprada garantia de mais 3 anos, foi acionada assistência técnica em São Paulo, conforme:
Data: 25jul
Protocolo *******
OS: 44137771

Agendaram para o sábado 27/jul às 10:30. Não compareceram e ao ligar informaram que o carro quebrou.

Na segunda ligamos novamente e disseram que estavam buscando nova data.
Na quarta, disseram que viam quinta 01/08 na hora do almoço. Não vieram e não deram mais satisfação.

O que devemos fazer Brastemp??",,Recife - PE,02/08/2024 às 10:11,--,--,--,"Consideração final do consumidor
05/08/2024 às 21:47
Uma recomendação para os consumidores: Não contratem garantia estendida. A seguradora não vai mandar a assistência autorizada do fabricante. Vai mandar empresas de baixa qualidade terceirizadas, que o fabricante (nesse caso a Brastemp) nem conhece. Precisei acionar a Brastemp diretamente, que mesmo após 1 ano da garantia me atendeu com rapidez e de forma gratuita.
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
10"
https://www.reclameaqui.com.br/brastemp-consul/brastemp-nao-tem-qualquer-respeito-com-o-consumidor_rFxno7KRkApDUmsk/,BRASTEMP NAO TEM QUALQUER RESPEITO COM O CONSUMIDOR,"Tive a infelicidade de efetuar uma compra pelo site da BRASTEMP dia 02/07 de uma máquina de lavar e um refrigerador. A máquina de lavar foi entregue dia 05/07, porém o refrigerador ainda consta em separação.
Tenho buscado solucionar o problema junto a empresa desde o dia 12/07, mas não obtive retorno.
Registrei reclamação no Reclame Aqui, SAC e PROCON.
Recebi um e-mail com o remetente ATENDIMENTO PROCON informando que iria analisar a razão do produto não ter sido integrado ao pedido. Como constava remente ATENDIMENTO PROCON, julguei se tratar de uma resposta do órgão, quando então respondi solicitando ajuda para entrega emergencial. Porém, horas depois percebi que o email era na verdade do SAC da própria empresa, o que considerei um descaso e um desrespeito sem precedentes, uma vez que, sendo um retorno do setor responsável em resolver o problema, era para ter sido apresentada uma solução de imediato e não que o caso ainda seria analisado. Logo, retifique a mensagem, solicitando o cancelamento. Entrei no site de compras e tambem fiz o cancelamento quando informaram que receberia retorno em 48 horas. Ocorre que nada ainda foi feito. Em constantes contatos via WhatsApp e chat, o retorno que obtive era de que, como havia registrado reclamacao no PROCON, o SAC não poderia me dar informações e teria que aguardar contato e assim, sigo até hoje, sem geladeira para armazenar meus alimentos e com o limite do meu cartão de crédito comprometido porque a BRASTEMP não processa o cancelamento a compra.
É inacreditável o que está acontecendo. Uma afronta ao Código de Defesa do Consumidor. Não bastasse a empresa vender um refrigerador que é considerado produto essencial e não entregar ainda NAO CANCELA a compra, impedindo o consumidor de adquirir outro produto.
O que a empresa está promovendo ulltrapassa a caracterização de mero erro de procedimento para inquestionável [Editado pelo Reclame Aqui], beirando a criminalidade. Os setores de atendimento estão achincalhando o cliente, pois, as respostas são sempre inúteis e claramente procrastinatorias",,Rio de Janeiro - RJ,01/08/2024 às 21:56,Eletrodomésticos,Geladeira-Refrigerador,Mau Atendimento,"Consideração final do consumidor
06/08/2024 às 19:29
Não resolvem o problema, apenas procrastinam. Atendimento péssimo.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/parou-de-funcionar_RlIQ7MQgHyFnI1-o/,parou de funcionar,"Minha geladeira parou de funcionar do nada, entro em contato com o número 30030099 fala que o número não está disponível, faz 1 mês e pouco que eu comprei essa geladeira paguei 3 mil reias e ninguém me atende.",,São Paulo - SP,01/08/2024 às 14:51,Eletrodomésticos,Geladeira-Refrigerador,Assistência técnica,"Consideração final do consumidor
06/08/2024 às 09:46
bom
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
10"
https://www.reclameaqui.com.br/brastemp-consul/geladeira_AR1UTxKcVFhADqP7/,Geladeira,"Comprei a Geladeira de R$ 4899,00 no dia 09/06/2024 com garantia estendida de R$ 307,91 um total de R$ 5206,91. Recebi a mercadoria no dia 18/06/2024 (terça feira), deixei a geladeira parada sem mexer conforme descrito no manual para que o gás estabilize, no dia 20/06/2024 (quinta feira) segui as orientações do manual para ligar a geladeira que não funcionou, veio e na primeira tentativa não funcionou, posteriormente entrei em contato para pedir a troca, o atendimento foi para que eu solicita-se o reparo, no atendimento afirmaram que a geladeira ficaria nova pq trocaria a peça com defeito, pois a solicitação da troca demoraria pelo menos 90 dias e eu ficaria muito tempo sem geladeira. Devido essas informações segui conforme orientada, no dia 27/06/2024 consegui solicitar o agendamento, no dia 02/07/2024 veio o técnico que olhou e falou que o compressor precisava trocar e que iria pedir a peça, tendo um prazo de recebimento da peça de mais 15 dias, a segunda visita ocorreu no dia 22/07/2024 (20 dias após a primeira visita) nessa segunda visita o técnico que veio falou que não era apenas o compressor, mas que também tem um vazamento e que a geladeira veio sem gás. teria que pedir outra peça além do compressor, mais 10 dias para a segunda peça, hoje já faz esses 10 dias e não temos retorno de ninguém. Conforme código de defesa do consumidor quero uma geladeira nova imediatamente, pois já são 44 dias sem geladeira e nenhuma assistência competente, nenhum auxilio da marca do produto, nada. Ou o meu dinheiro de volta.",,Alto Paraná - PR,31/07/2024 às 17:10,Eletrodomésticos,Geladeira-Refrigerador,Não gela,"Consideração final do consumidor
06/08/2024 às 14:57
Horrível, muito ruim mesmo em todos os aspectos. Falta de respeito com o consumidor. Não estou pedindo favor, paguei e não foi barato.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/lavadora-bnf10-estragada-em-menos-de-01-mes_EypQK7BoqRNCFY_s/,Lavadora BNF10 estragada em menos de 01 mês,"Comprei uma lavadora de roupas Brastemp para substituir a que perdi nas enchentes aqui de POA e pra minha surpresa ela estragou em menos de 30 dias. Menos de 30 dias de uso e ela fica travada num ciclo, mesmo desligando a máquina. O painel não responde os comandos. Foi comprada nas Lojas Taqui que me disseram ser necessário o contato com a Brastemp, pois fiz o contato pelo terrível atendimento via robôs e até agora não tive nenhum retorno. Não tenho mais a menor confiança na marca e gostaria do meu dinheiro de volta e a devolução deste produto.",,Porto Alegre - RS,31/07/2024 às 12:15,Eletrodomésticos,Lavadora de roupas e Tanquinho,Má qualidade,"Consideração final do consumidor
07/08/2024 às 09:31
Desconsidera o inciso 3 do CDC diante dos danos em componentes essenciais que diminuem a qualidade do produto. Só repetem o que lhes interessa do CDC. Por fim vendem produtos de baixíssima qualidade sem nenhuma proteção aos direitos do Consumidor.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/pos-venda-2_txWY6uvMuB4enGOv/,Pós venda 2,"Depois de ter uma solução satisfatória para um problema pós venda em um refrigerador, dei uma nova oportunidade a Brastemp na compra de uma secadora para a minha filha. Recebi um e-mail (anexo) avisando que a mercadoria estava em rota de entrega em 30/7 e posicionei a minha filha para não sair de casa, pois o recebimento dependia dela no local. O dia passou e nada da entrega acontecer. Diante disso, já não podemos ter certeza quando a entrega acontecerá, independente das mensagens enviadas pela Brastemp. Previsão de mais stress à frente..",,Sorocaba - SP,31/07/2024 às 08:05,Eletrodomésticos,Secadora de roupa e centrífuga,Atraso na entrega,"Consideração final do consumidor
07/08/2024 às 14:13
Atendimento rápido e eficiente - problema resolvido!
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
9"
https://www.reclameaqui.com.br/brastemp-consul/geladeira-comprada-a-vista-no-site-veio-com-defeito-mas-empresa-nao-tem-tel_J8Ooii-ZZ-0W703s/,Geladeira comprada a vista no site veio com defeito mas empresa não tem telefone fixo de atendimento e compradora ficou sendo atendida pela autorizada incompetente.,"Prezada Brastemp,

Venho, por meio desta, manifestar minha profunda insatisfação com a recente compra de uma geladeira pelo site da Brastemp. Adquiri o produto à vista, na expectativa de receber um item de qualidade, conforme a reputação que a marca sempre sustentou. No entanto, a geladeira apresentou um barulho imenso desde sua instalação, comprometendo seu funcionamento adequado e a tranquilidade do meu lar.

Para agravar a situação, o atendimento presencial realizado pela empresa autorizada pela Brastemp no bairro de Botafogo foi insatisfatório e não solucionou o problema. Como cliente fiel da Brastemp há mais de 20 anos, sempre confiei na qualidade dos produtos e no suporte oferecido pela empresa. A empresa pode verificar o histórico de compras realizadas sob o CPF ******* para confirmar minha lealdade.

É com grande constrangimento que relato que fui tratada de maneira desrespeitosa, especialmente considerando que minha moradia é um pequeno e humilde quartinho. Essa experiência negativa me deixou extremamente decepcionada e envergonhada.

Diante disso, solicito a devolução integral do valor pago pela geladeira e que a Brastemp providencie a retirada do produto, adquirido no ano passado. Ressalto que, em 2019, também comprei um fogão Consul automático à vista, mas durante a pandemia não consegui abrir nenhuma reclamação a respeito de problemas que surgiram.

Como consumidora que vive com apenas um salário mínimo, reforcei minha confiança na marca ao juntar o dinheiro necessário para essas aquisições. É essencial que as empresas reconheçam a importância de valorizar seus consumidores e tomem medidas para reparar os problemas encontrados em seus produtos.

Aguardo uma resposta urgente e uma solução definitiva para esta situação.

Atenciosamente,",,Rio de Janeiro - RJ,30/07/2024 às 21:49,Não encontrei meu problema,Geladeira-Refrigerador,Má qualidade,"Consideração final do consumidor
05/08/2024 às 17:15
Atendimento muito ruim para quem vai defender uma empresa que parece ser solidária com as pessoas em ajudar. Triste mesmo
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/maquina-de-lavar-com-problema_GP2wAVTX81RNtnRi/,Máquina de lavar com problema.,"Brastemp não resolve máquina de lavar com três semanas e desde o primeiro dia já veio com problema. Técnico já esteve várias vezes e o mesmo indicou não ter conserto e a Brastemp só enrola.
Solução nada.",,Palhoça - SC,30/07/2024 às 18:26,--,--,--,"Consideração final do consumidor
05/08/2024 às 17:34
Insatisfeito com Brastemp que só enrolou. Precisei reclamar aqui para ligarem pra mim. Gostaria de devolver a máquina mas tudo que fazem é me enrolar. Enrolar ,enrolar. Ninguém fala amos resolver.
Fabricam uma máquina que roupa sai encharcada na centrifugação onde o técnico deles disse estar com problema. Insatisfeito !!!Brastemp nunca mais.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/maquina-de-lavar-loucas-nova-com-painel-riscado_Avs4UA8NnUUAImMW/,Máquina de lavar louças nova com painel riscado,"Comprei uma máquina de lavar louças 10 serviços no site da Brastemp. A mesma veio com o painel arranhado. Solicito o reparo urgente, pois trata-se de uma produto novo.",,Goiânia - GO,30/07/2024 às 17:16,Eletrodomésticos,Lava louças,Riscada-Manchada,"Consideração final do consumidor
03/08/2024 às 11:53
Resolvido.
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
10"
https://www.reclameaqui.com.br/brastemp-consul/gelafeira-brastemp-3-portas_Fn4ltrk8t594x4xh/,Gelafeira Brastemp 3 portas,"Comprei uma geladeira Brastemp 3 portas pela Internet nas lojas Colombo.Recebi a tal geladeira no dia 05/07 sexta-feira, no sábado a tarde notei que os alimentos que eu tinha colocado dentro dela não estavam refrigerados e nem os que eu tinha colocado no congelador.Na segunda, dia 08/07 entrei em contato com a loja falando o ocorrido, disse que queria troca do produto,pois não funciona. Para minha surpresa a atendente disse que teria que entrar e. Contato com o técnico para verificar o ocorrido, relutei muito, pois não faz sentido uma geladeira nova estar estragada. De lá para cá, só incomidaçao,fui no Procon, reclame aqui, sobre a loja Colombo, vários e-mails e nada. Chegado o dia da visita do tal técnico ( escolhido e enviado pela própria loja), ele simplesmente disse que não entende dessa tecnologia, pous é uma geladeira nova. Solicitou troca de vários equipamentos dela, claro que não aceitei ( ele disse ainda que a chegada das peças demoraria uns 20 dias). Ligo para a loja Colombo, quem diz que alguém atende.
Hoje, 25/07 estou ainda sem geladeira nova. A atendente da assistência técnica ainda me disse que tenho que estar atenta so celular, pous a Brastemp poderá me ligar caso não atenda três tentativas, será cancelado minha solicitação, trabalho, não tenho como atender sempre os telefonemas!!
Já não aguento mais, pous a pouco sofri com uma enchente e e. Virtude disso comprei a tal geladeira nova !!!!
Aguardo a troca do equipamento!!",,Guaíba - RS,30/07/2024 às 16:43,--,--,--,"Consideração final do consumidor
02/08/2024 às 12:51
Nada resolvido!
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/geladeira-inverse-3-sem-conserto_zHgj0CuXxEH8It6I/,Geladeira inverse 3 sem conserto,"Brastemp não resolve o problema da geladeira inverse 3.
Comprei 2 geladeiras e vieram as gavetas totalmente desalinhas e não fecham, já foi para assistência 3 vezes e não tem solução! 3 ordens de serviços abertas, 01/03/2024 - 07/04/2024 - 29/07/2024 - a geladeira não tem conserto, temos 2 idosos na casa a geladeira dispara o alarme todo vez porque a a gaveta não fecha, acarretando perda de alimentos! BRASTEMP vocês precisam resolver o problema, e não adianta mandar técnico, porque os mesmos já avisaram que não há mais o que fazer, não tem solução.",,São Paulo - SP,30/07/2024 às 13:16,Eletrodomésticos,Geladeira-Refrigerador,Má qualidade,"Consideração final do consumidor
01/08/2024 às 10:48
Meu problema ainda não foi resolvido!
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/assistencia-tecnica_-RAjlurvRgMqMJxJ/,Assistência técnica,"Comprei um lava louças da BRASTEMP. Ela ainda está na garantia.
A máquina começou a piscar todas as luzes e não ligar. Entrei no site e solicitei assistência. Demoraram quase 10 dias para vir ver a máquina. Resolveram levar ela e estão há 10 dias sem dar uma resposta. Só dizem que ainda não há parecer. Falaram que iam dizer o problema 2 dias depois. Depois pediram mais 1 semana. Novamente pedi um prazo para pelo menos dizer o problema só visualizam e não respondem.
Como a assistência é autorizada da BRASTEMP e foi a própria marca que encaminhou diretamente a essa assistência, é de inteira responsabilidade da empresa.",,Campo Grande - MS,30/07/2024 às 11:46,Eletrodomésticos,Lava louças,Assistência técnica,"Consideração final do consumidor
02/08/2024 às 17:34
Atendimento da empresa é bom. O atendimento da autorizada é pessimo.
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
5"
https://www.reclameaqui.com.br/brastemp-consul/engracado-ao-cliente_S-Kz-mZHNaum-O7r/,Engraçado ao cliente....,"Meu nome e Raquel, tenho uma geladeira na cor inox,moro em são Caetano do Sul https://******* geladeira deu problema... chamei assistencia técnica autorizada da Brastemp......Paguei 70 reais pro rapaz vim fazer orçamento eo laudo..... Porque já passou faz tempo da garantia de um ano.... Ocorre que no laudo feito pelo autorizada da Brastemp falou que não tenha mais feito de conserto...não tem reparo https://******* fábrica em conversar com a atendente Dioquele, né falou do programa de troca https://******* que eu só poderia fazer a compra só site deles da https://******* falei pra ela que não queria pq não tinha dinheiro e também no site o mesmo produto geladeira igual a minha tava bem mais caros que outras https://******* me falou que só daria 15%de desconto e nada https://******* falei que é inviável pq não tem lógica eu pagar mais caro e ser obrigado a comprar no site de vcs e dar a geladeira com defeito pra tem os 15% de desconto https://******* não tem a peça na fábrica https://******* pra ela que no site tem o mesmo produto igual só muda o cóhttps://******* é uma enganação ao cliente....querendo enganar bobo https://******* quero o conserto da minha geladeira.....a Brastemp e a fabricante da peça ....fabricou minha geladeira não existe outra fábrica https://******* absurdo.....forçar o cliente pra pagar mais e falar que não tem peça bando de https://******* no saque hoje e a moça falou mesma coisa https://******* é https://******* geladeira ..... Brastemp fazendo produtos pra durar pouco tempo de uso e quando quebra ainda forçar o cliente a comprar uma nova e devolver a quebrada alegando que não tem peça .......",,São Paulo - SP,30/07/2024 às 10:57,Não encontrei meu problema,Geladeira-Refrigerador,Má qualidade,"Consideração final do consumidor
03/08/2024 às 16:25
Forçando o cliente a comprar outro produto.....e nada de resolver o conserto da minha geladeira....e
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/geladeira-nova-tecnico-nao-resolveu_2yP5kqLgewemsnbe/,Geladeira nova tecnico não resolveu,"Comprei uma geladeira no magazine Luiza
Ela já veio com problema, só esfriava e não gelava, pensei que eu estava sem saber operar.
Veio uns amigos em casa e falou q já tinha comprado da mesma geladeira e veio com o mesmo problema!
O técnico veio em casa e falou q o problema foi no manuseio e nada resolveu e foi embora.
Tenho 70 anos perdi medicamentos alimentos e nada de resolver o meu problema só empurrando!
Um alerta nunca mais compro nada destas duas empresas! O técnico falou q viria pela manhã só chegou às 18:00 uma piada",,São Paulo - SP,30/07/2024 às 10:49,Não encontrei meu problema,Geladeira-Refrigerador,Não gela,"Consideração final do consumidor
03/08/2024 às 10:48
Demorou para resolver
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
8"
https://www.reclameaqui.com.br/brastemp-consul/geladeira-inverse-443-parou-de-funcionar_uamb83uZ8yPA7R6t/,GELADEIRA INVERSE 443 PAROU DE FUNCIONAR,"COMPREI UMA GELADEIRA DIRETO NA FÁBRICA DA BRASTEMP (CNPJ EMITIDO NA NF 62.058.318/0012-33) CUJA NOTA FISCAL FOI EMITIDA EM 31/08/2023. PRODUTO SAIU DO CENTRO DE DISTRIBUIÇÃO DE ALHANDRA-PB.
NO DIA 24/07/2024 (MENOS DE 11 MESES DE USO) O REFRIGERADOR DA GELADEIRA PAROU DE FUNCIONAR, E AÍ COMEÇOU MEU CALVÁRIO EM PERDA DE ALIMENTOS E STRESS.
CONTACTEI A BRASTEMP QUE ABRIU UM CHAMADO PARA UM TÉCNICO DA ASSISTÊNCIA AUTORIZADA IR EM MINHA RESIDÊNCIA. A VISITA TÉCNICA SÓ FOI AGENDADA PARA O DIA 27/07/2024.
O TÉCNICO ENVIADO PELA ADVANCE REFRIGERAÇÃO CUJO CNPJ É O 02.411.179/0001-03 INFORMOU QUE A GELADEIRA ESTAVA COM DEFEITO NA PEÇA CHAMADA CAPA DO EVAPORADOR E QUE A MESMA DEVERIA SER TROCADA (A GELADEIRA ESTÁ EM GARANTIA).
CONTINUO PERDENDO ALIMENTOS E HOJE, 30/07/2024, LIGUEI NOVAMENTE PARA A BRASTEMP, ONDE FUI INFORMADA QUE EU DEVO TER PACIÊNCIA PORQUE O PRAZO PARA CHEGADA DA PEÇA PARA SUBSTITUIÇÃO SÃO 10 DIAS ÚTEIS.
PERGUNTEI QUAL A SOLUÇÃO DESTA FÁBRICA TÃO CONCEITUADA ACERCA DE UM PROBLEMA DESSE NÍVEL ONDE UM CLIENTE QUE ADQUIRIU UM BEM CARO (R$4.600,00) E UM BEM DE EXTREMA NECESSIDADE PARA UMA FAMÍLIA?
A RESPOSTA DA ATENDENTE FOI QUE NÃO HÁ O QUE FAZER E SIM ESPERAR A CHEGADA DA PEÇA. SIGO PERDENDO ALIMENTOS DIARIAMENTE, EXTREMAMENTE INSATISFEITA COM A BRASTEMP E SEM CONFIANÇA NENHUMA COM A GELADEIRA QUE CONFORME O TÉCNICO PODERÁ APRESENTAR NOVAMENTE ESTE DEFEITO.
SOLICITEI A TROCA DO PRODUTO POR UM NOVO E FUI INFORMADA QUE É IMPOSSÍVEL.
CADÊ O DIREITO DO CONSUMIDOR?
QUE CULPA EU TENHO DO PRODUTO TER VINDO COM DEFEITO DE FABRICAÇÃO?
AGUARDO PROVIDÊNCIAS URGENTES DA BRASTEMP.
GRATA,
JOANDA",,Lagoa do Itaenga - PE,30/07/2024 às 08:41,--,--,--,"Consideração final do consumidor
02/08/2024 às 08:12
DESCASO TOTAL E FALTA DE RESPEITO.
HOJE É DIA 02/08 E SIGO SEM GELADEIRA DESDE O DIA 24/07 E SEM PREVISÃO DE SOLUÇÃO. TODOS OS DIAS DESCARTO ALIMENTOS NO LIXO.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
